_id,batch_id,blockchain_hash,blockchain_time,collected_time,cond,device,ph,predicted_time,real_anomaly,real_class,temp,turb
6a39ff0c260514f6dd969a2f,ECODOBEM-00000000093,d831fd4a2b49181f0488201d2f778712ed190851c1bc332babe1ab2086903c8b,2026-06-23T11:35:40.088218,2026-6-23T11:35:38.000000,98.2,esp32-s3,8.7,2026-06-23T11:35:39.818476,0,3,29,54.2
6a39ff34260514f6dd969a31,ECODOBEM-00000000094,19d91bd42c8f3e02222b78e1811c8c446fc5358f2d7e1c0eadb5b3c33c098cc9,2026-06-23T11:36:20.642724,2026-6-23T11:36:19.000000,98.1,esp32-s3,8.7,2026-06-23T11:36:20.423479,0,3,29.1,53
6a39ff5d260514f6dd969a33,ECODOBEM-00000000095,f8e9cb4cd214914c380de528df63ab1a05fcf18ada56ed3c28a3d002efb51240,2026-06-23T11:37:01.084034,2026-6-23T11:36:59.000000,99.5,esp32-s3,8.6,2026-06-23T11:37:00.794302,0,3,29.1,52.5
6a39ff85260514f6dd969a35,ECODOBEM-00000000096,6a193ace68ec116fab8c528fc104a4b36fdc372181cc33c4d7f069b8b51efb38,2026-06-23T11:37:41.430553,2026-6-23T11:37:40.000000,97.1,esp32-s3,8.6,2026-06-23T11:37:41.156344,0,3,29.2,52.2
6a39ffae260514f6dd969a37,ECODOBEM-00000000097,7f9576adc9d11bef0a46959de9150bd47b598978e581e2299c7319eef597cbf5,2026-06-23T11:38:21.979396,2026-6-23T11:38:20.000000,99.2,esp32-s3,8.7,2026-06-23T11:38:21.731882,0,3,29.2,53.7
6a39ffd6260514f6dd969a39,ECODOBEM-00000000098,0267bd01c2a98435c11d015ef76153795679fb7f2274eca4b901c0a703f91965,2026-06-23T11:39:02.529862,2026-6-23T11:39:01.000000,98.3,esp32-s3,8.6,2026-06-23T11:39:02.232761,0,3,29.2,53.1
6a39ffff260514f6dd969a3b,ECODOBEM-00000000099,557a7bfc3ddfaaf73a96c3b611fe098744bba4fb63b6509f4a27c1c79ef05f6e,2026-06-23T11:39:43.082674,2026-6-23T11:39:41.000000,97.6,esp32-s3,8.7,2026-06-23T11:39:42.807273,0,3,29.2,52.7
6a3a0027260514f6dd969a3d,ECODOBEM-00000000100,344c8e07d2fa6957bf9052a3b85007444d4410d8bdbcc113ff5eb278bda3f0a5,2026-06-23T11:40:23.372265,2026-6-23T11:40:22.000000,99.3,esp32-s3,8.8,2026-06-23T11:40:23.163320,0,3,29.3,54.5
6a3a0050260514f6dd969a3f,ECODOBEM-00000000101,95fdee2fb5990fc456ad9382bb9eb90272063025c840f24aeed6cf07aa3903f3,2026-06-23T11:41:04.148733,2026-6-23T11:41:02.000000,99.1,esp32-s3,8.7,2026-06-23T11:41:03.878873,0,3,29.3,52.8
6a3a0078260514f6dd969a41,ECODOBEM-00000000102,ca29bd97dd46bff17c26e50fe5521936078b5b9553ed73f9aa9a629313b5c4e1,2026-06-23T11:41:44.641504,2026-6-23T11:41:43.000000,98.4,esp32-s3,8.7,2026-06-23T11:41:44.345697,0,3,29.3,53
6a3a00a1260514f6dd969a43,ECODOBEM-00000000103,4a36c06bf8ba2981297b122fd9e8980327905bcfdeca9f6343dc98e96d5b896d,2026-06-23T11:42:25.092499,2026-6-23T11:42:23.000000,98.2,esp32-s3,8.7,2026-06-23T11:42:24.832738,0,3,29.4,52.6
6a3a00c9260514f6dd969a45,ECODOBEM-00000000104,b622fce24b56bd169253b6528f1bda65b6242d309680a75abc84711e5f0e5087,2026-06-23T11:43:05.542388,2026-6-23T11:43:04.000000,98.7,esp32-s3,8.7,2026-06-23T11:43:05.307699,0,3,29.4,54.2
6a3a00f2260514f6dd969a47,ECODOBEM-00000000105,c4c3f3151e79b948b22adcd91b82b4a01271ecce5e63ab173e2a5365d94a890c,2026-06-23T11:43:46.201996,2026-6-23T11:43:44.000000,97.1,esp32-s3,8.7,2026-06-23T11:43:45.930719,0,3,29.4,53.1
6a3a011a260514f6dd969a49,ECODOBEM-00000000106,5080f92486e5804c669921f251346f5221b94f4592cdcc8411a94ddbed1fd3b7,2026-06-23T11:44:26.647404,2026-6-23T11:44:25.000000,97.3,esp32-s3,8.6,2026-06-23T11:44:26.401232,0,3,29.4,53.5
6a3a0143260514f6dd969a4b,ECODOBEM-00000000107,ee8dcb43609cf1be643e9d8fb669b1512595af5b69b2d467dda01cd48ed5b0c5,2026-06-23T11:45:07.097230,2026-6-23T11:45:05.000000,98.2,esp32-s3,8.6,2026-06-23T11:45:06.816701,0,3,29.5,52.9
6a3a016b260514f6dd969a4d,ECODOBEM-00000000108,c8af059c1b067c28fe26be896472a47980d2705dd38baf42d2b1fa2f9b291e1d,2026-06-23T11:45:47.751670,2026-6-23T11:45:46.000000,98.9,esp32-s3,8.7,2026-06-23T11:45:47.452674,0,3,29.5,54.1
6a3a0194260514f6dd969a4f,ECODOBEM-00000000109,9ac9b92b1f5f345ad085d7f278bae8c0cf44bf03a38c982751051154aeb01630,2026-06-23T11:46:28.098682,2026-6-23T11:46:26.000000,99.5,esp32-s3,8.7,2026-06-23T11:46:27.786533,0,3,29.5,52.5
6a3a01bc260514f6dd969a51,ECODOBEM-00000000110,6ec0a48d231bb22647205ecc818f6b69db55f0951afda3b43d2f01f18ab3b016,2026-06-23T11:47:08.753009,2026-6-23T11:47:07.000000,97.7,esp32-s3,8.8,2026-06-23T11:47:08.452489,0,3,29.5,51.8
6a3a01e5260514f6dd969a53,ECODOBEM-00000000111,5f6a16f9f982f25af1e0fdec331dae0025fedb1df5ebee87aa2e8a41694e35b2,2026-06-23T11:47:49.202549,2026-6-23T11:47:47.000000,97.4,esp32-s3,8.7,2026-06-23T11:47:48.936436,0,3,29.6,52.6
6a3a020d260514f6dd969a55,ECODOBEM-00000000112,1600b91286c6cdfd7655c839587c75929edf410590a38268be4ecaf2bb49d424,2026-06-23T11:48:29.711557,2026-6-23T11:48:28.000000,97.9,esp32-s3,8.7,2026-06-23T11:48:29.489481,0,3,29.6,51.4
6a3a0236260514f6dd969a57,ECODOBEM-00000000113,286f7d085f1e20ab4afc809004922e4ddd25b1689151899a3ef767c0d8ade53b,2026-06-23T11:49:10.407629,2026-6-23T11:49:08.000000,98.8,esp32-s3,8.7,2026-06-23T11:49:10.142759,0,3,29.6,52.9
6a3a050d260514f6dd969a59,ECODOBEM-00000000117,0674a5e221464b55bb9c49d7f182fe35aa201ddba8d129fea251441aa9d6044e,2026-06-23T12:01:17.869874,2026-6-23T12:01:16.000000,82.7,esp32-s3,7.1,2026-06-23T12:01:17.625406,0,1,30.1,0
6a3a0547260514f6dd969a5b,ECODOBEM-00000000118,72f543306ee0dccc8c4b028b36657909704e2bb217d3aeceb9e9eef9a4227ea3,2026-06-23T12:02:15.846092,2026-6-23T12:02:14.000000,79.4,esp32-s3,7,2026-06-23T12:02:15.523035,0,1,30.1,0
6a3a0581260514f6dd969a5d,ECODOBEM-00000000119,87270cd9646de39e05f7f9d3cbfec4f048677b3d76717f23874e4cffc46d1328,2026-06-23T12:03:13.685028,2026-6-23T12:03:11.000000,71.2,esp32-s3,6.5,2026-06-23T12:03:13.427626,0,1,30.2,0
